"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist91","exist01","upaz2011","parent"
3353,NA,49,0,"mirpur",2001,0,1,302648,30026
3408,NA,408,1,"uttara, bimanbandar",2001,0,1,302695,30026
3337,"46000",115,0,"chandgaon",2001,0,1,201519,20015
3392,"50000",90,0,"darus salam",2001,0,1,302611,30026
3234,"120000",313.4205827,1,"narayanganj sadar",2001,0,1,306758,30067
3384,"3.00e+05",170,1,"kadam tali",2001,0,1,302632,30026
3360,NA,69,1,"narayanganj sadar",2001,0,1,306758,30067
3259,"2000",56,0,"uttara, bimanbandar",2001,0,1,302695,30026
3357,"40000",313.4205827,1,"narayanganj sadar",2001,0,1,306758,30067
3355,"12000",52,0,"gulshan",2001,0,1,302626,30026
3238,"30000",115,0,"gazipur sadar",2001,0,1,303330,30033
3370,"1.00e+05",54,1,"uttar khan",2001,0,1,302696,30026
3361,"24000",313.4205827,0,"narayanganj sadar",2001,0,1,306758,30067
3311,"135000",131,0,"savar",2001,0,1,302672,30026
3359,NA,69,1,"narayanganj sadar",2001,0,1,306758,30067
3275,NA,135,0.5,"tejgaon industrial area",2001,0,1,302692,30026
3377,NA,104,0,"chandgaon",2001,0,1,201519,20015
3277,NA,61,1,"gazipur sadar",2001,0,1,303330,30033
3364,NA,60,0,"rupganj",2001,0,1,306768,30067
3372,"36000",285,0,"panchlaish",2001,0,1,201557,20015
3326,NA,160,0,"ramna",2001,0,1,302666,30026
3358,"15000",313.4205827,1,"narayanganj sadar",2001,0,1,306758,30067
3352,"60000",100,0.5,"narayanganj sadar",2001,0,1,306758,30067
3371,"370000",253,0.5,"chandgaon",2001,0,1,201519,20015
3284,"40000",255,0,"chittagong port",2001,0,1,201520,20015
3331,"35000",395,1,"tejgaon industrial area",2001,0,1,302692,30026
3325,"60000",35,1,"uttara, bimanbandar",2001,0,1,302695,30026
3081,"18000",152,1,"rampura",1998,0,1,302667,30026
2914,"80000",167,0,"kafrul",1999,0,1,302630,30026
674,"30000",55,0,"lalbagh",1987,1,1,302642,30026
2190,"100000",150,1,"sonargaon",1992,0,1,306704,30067
1283,"30000",105,0,"uttara, bimanbandar",1992,0,1,302695,30026
1095,"89000",130,0,"rampura",1992,0,1,302667,30026
1983,"30000",180,1,"gazipur sadar",1995,0,1,303330,30033
2276,"100000",137,0,"gazipur sadar",1992,0,1,303330,30033
700,"15000",164,0,"new market",1988,1,1,302663,30026
1303,"46000",120,0,"chandgaon",1992,0,1,201519,20015
1548,"36000",330,0,"adabor",1993,0,1,302602,30026
3195,"x",1685,0,"shyampur",2000,0,1,302676,30026
2573,"216000",75,0,"double mooring",1998,0,1,201528,20015
1144,"30000",165,0,"khilkhet",1992,0,1,302637,30026
2770,"x",185.2385766,1,"narayanganj sadar",1998,0,1,306758,30067
3016,"x",147,0,"gazipur sadar",1999,0,1,303330,30033
1404,"55000",180,0,"gazipur sadar",1993,0,1,303330,30033
3183,"45000",185.2385766,1,"pallabi",2000,0,1,302664,30026
60,"45000",148,0,"mirpur",1984,1,1,302648,30026
1721,"60000",303,0,"gazipur sadar",1994,0,1,303330,30033
34,"70000",220,0,"tejgaon industrial area",1985,1,1,302692,30026
1339,"45000",160,0.5,"kotwali",1992,0,1,201541,20015
