"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist05","upaz2011","parent"
3081,60000,280.5,1,"rampura",1998,1,302667,30026
2914,130000,183.5,0,"kafrul",1999,1,302630,30026
674,1e+05,66.5,0,"lalbagh",1987,1,302642,30026
2190,60000,114,1,"sonargaon",1992,1,306704,30067
937,25000,67,0.5,"jatrabari",1989,1,302629,30026
1283,30000,105,0,"uttara, bimanbandar",1992,1,302695,30026
1095,150000,307.5,0,"rampura",1992,1,302667,30026
3201,NA,65,1,"demra",2000,1,302612,30026
1983,30000,180,1,"gazipur sadar",1995,1,303330,30033
2276,1e+05,178,0,"gazipur sadar",1992,1,303330,30033
700,15000,164,0,"new market",1988,1,302663,30026
213,36000,104,0.5,"shahbag",1986,1,302675,30026
114,150000,244.5,0,"mirpur",1984,1,302648,30026
1548,36000,219,0,"adabor",1993,1,302602,30026
3187,60000,49,1,"savar",2000,1,302672,30026
3195,30000,926.5,0,"shyampur",2000,1,302676,30026
2730,10000,80.5,1,"paltan",1998,1,302665,30026
1144,25000,158.5,0,"khilkhet",1992,1,302637,30026
2770,NA,166.1192883,1,"narayanganj sadar",1998,1,306758,30067
3016,2e+05,333.5,0,"gazipur sadar",1999,1,303330,30033
1404,60000,303.5,0,"gazipur sadar",1993,1,303330,30033
3183,90000,417.6192883,1,"pallabi",2000,1,302664,30026
60,55000,224,0,"mirpur",1984,1,302648,30026
1721,72000,330.5,0,"gazipur sadar",1994,1,303330,30033
34,264000,760.5,0,"tejgaon industrial area",1985,1,302692,30026
3011,60000,118,0,"savar",2000,1,302672,30026
2454,NA,153.8523251,0,"kafrul",1997,1,302630,30026
2806,170000,45,1,"pahartali",1998,1,201555,20015
1307,60000,115,0,"gulshan",1992,1,302626,30026
2225,NA,224.4716134,0,"savar",1995,1,302672,30026
1566,38000,150,0,"mohammadpur",1994,1,302650,30026
1055,80000,117.5,0,"mirpur",1992,1,302648,30026
538,150000,175,0,"gulshan",1985,1,302626,30026
1466,150000,47,1,"narayanganj sadar",1993,1,306758,30067
1980,2e+05,52,1,"narayanganj sadar",1994,1,306758,30067
2164,180000,123.5,0,"kalabagan",1994,1,302633,30026
