Year,Trade Flow,Commodity Code,Commodity,Trade Value (US$)
2012,Import,5208,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing not more than 200 g/m2",1447049838
2012,Export,5208,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing not more than 200 g/m2",24720005
2012,Import,5209,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing more than 200g/m2",1067052824
2012,Export,5209,"Woven fabrics of cotton, containing 85% or more by weight of cotton, weighing more than 200g/m2",23968738
2012,Import,5210,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing not more than 200 g/m2",115234988
2012,Export,5210,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing not more than 200 g/m2",2067519
2012,Import,5211,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2",94333973
2012,Export,5211,"Woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2",1118120
2012,Import,5212,"Other woven fabrics of cotton, n.e.c. in chapter 52",157917578
2012,Export,5212,"Other woven fabrics of cotton, n.e.c. in chapter 52",4370789
2012,Import,5407,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading no. 5404",319766649
2012,Export,5407,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading no. 5404",1721332
2012,Import,5408,Woven fabrics of artificial filament yarn including woven fabrics obtained from materials of heading no. 5404,10494625
2012,Export,5408,Woven fabrics of artificial filament yarn including woven fabrics obtained from materials of heading no. 5404,56391
2012,Import,5512,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres",170642383
2012,Export,5512,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres",2005483
2012,Import,5513,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2",231799930
2012,Export,5513,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2",4297418
2012,Import,5514,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170g/m2",60177331
2012,Export,5514,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170g/m2",149643
2012,Import,5515,"Woven fabrics of synthetic staple fibres, n.e.c. in chapter 55",38427927
2012,Export,5515,"Woven fabrics of synthetic staple fibres, n.e.c. in chapter 55",30086
