year,code,value
2012,5512,170642383
2012,5513,231799930
2012,5514,60177331
2012,5515,38427927
2012,5516,9432037
2012,5602,1484897
2012,5603,8980385
2012,5801,23423866
2012,5802,4534033
2012,5809,78170
2012,5906,2786643
2012,5907,1237131
2012,60,296563797
2013,5512,208177793
2013,5513,261426866
2013,5514,68239036
2013,5515,35190924
2013,5516,9414084
2013,5602,379300
2013,5603,10837130
2013,5801,29416705
2013,5802,6810455
2013,5809,112126
2013,5906,3827114
2013,5907,1074838
2013,60,300092914
2015,5512,276596965
2015,5513,316287250
2015,5514,94794857
2015,5515,91746808
2015,5516,38309991
2015,5602,1103672
2015,5603,18637346
2015,5801,34222408
2015,5802,5689870
2015,5809,1173284
2015,5906,8773847
2015,5907,2086081
2015,60,590147924
2008,5512,137821291
2008,5513,150407880
2008,5514,36138088
2008,5515,34672244
2008,5516,9769878
2008,5602,270292
2008,5603,6976429
2008,5801,23152079
2008,5802,6375029
2008,5809,174617
2008,5906,2059438
2008,5907,100009
2008,60,167607661
2009,5512,116654139
2009,5513,118051827
2009,5514,35549063
2009,5515,25548492
2009,5516,12056008
2009,5602,260079
2009,5603,5599467
2009,5801,23386335
2009,5802,7920526
2009,5809,391387
2009,5906,3011555
2009,5907,388296
2009,60,168691607
2010,5512,135142889
2010,5513,142423164
2010,5514,46982669
2010,5515,29102667
2010,5516,11960660
2010,5602,226038
2010,5603,7115174
2010,5801,19654565
2010,5802,4274276
2010,5809,279899
2010,5906,6325345
2010,5907,805780
2010,60,212394890
2011,5512,162830241
2011,5513,257500006
2011,5514,49980224
2011,5515,39534415
2011,5516,9175435
2011,5602,594989
2011,5603,8631885
2011,5801,18948818
2011,5802,5538028
2011,5809,196305
2011,5906,8398075
2011,5907,1610583
2011,60,321113295
2002,5512,112153969
2002,5513,83098393
2002,5514,35007541
2002,5515,14186415
2002,5516,1416596
2002,5602,121560
2002,5603,640579
2002,5801,5403205
2002,5802,2119987
2002,5809,48053
2002,5906,166229
2002,5907,981027
2002,60,41802500
2003,5512,96691030
2003,5513,123299601
2003,5514,85036964
2003,5515,16526620
2003,5516,1948515
2003,5602,184462
2003,5603,4416501
2003,5801,11384114
2003,5802,2333252
2003,5809,382608
2003,5906,488794
2003,5907,230747
2003,60,48872234
2004,5512,71969223
2004,5513,97446253
2004,5514,28924583
