upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
babuganj,0,1,1,barisal sadar(south),barisal,barisal sadar north,126188,153,7623,38,16955,659,31,251,9457,22029,18033,3852,33364,21085,712
bakerganj,0,1,1,barisal sadar(south),barisal,barisal  sadar south,312086,342,43448,37,39571,5796,142,317,24978,53650,38015,12123,87056,37030,1631
bandar,0,1,1,narayanganj,dhaka,,197839,42,10257,27,,,32,1287,5845,34342,11106,72213,39923,6270,19041
bhaluka,1,1,1,mymensinch sadar south,mymensinch,myrnensingh sadar south,215789,441,11689,16,18649,1112,23,476,29039,38332,30357,10523,57130,52236,151
boalkhali,1,1,1,chittagong sadar (patiya),chittagong,chittagong sadar south,174364,124,43445,32,20600,930,32,303,16879,28431,11233,19703,50821,8732,4137
cantonment,1,1,1,dhaka sadar,dhaka,,107432,37.19944598,1284,55,,,,,5103,17182,5181,107432,18949,,
chandanaish,0,1,1,chittagong sadar (patiya),chittagong,,155842,201,25239,25,16170,3540,21,129,18571,26701,14054,8517,41085,18756,1408
chandgaon,1,1,1,ctg sadar north,chittagong,,157513,12,10951,34,,1607,21,16,12925,24658,3389, ,28845,1022,13683
chittagong port,1,1,1,ctg sadar north,chittagong,,206013,122,12492,32,,378,48,18,15253,29694,9399,,43571,6501,8324
chouddagram,0,1,1,comilla sadar (south),comilla,comilla sadar south,366002,388,7581,22,35648,4350,42,579,34949,63005,46220,5989,96883,54675,3763
demra,1,1,1,dhaka sadar,dhaka,,320452,58.0213652,17550,39,,,2414,24,10925,55757,16484,320452,60218,4972,26759
dhanmondi,1,1,1,dhaka sadar,dhaka,,94047,5.853426277,1634,67,,,,,1500,12204,5446,94047,16127,216,1817
double mooring,1,1,1,ctg sadar north,chittagong,chittagong sadar north,272708,11,18221,48,34899,478,216,130,17491,41373,6596,,45100,400,7777
goshairhat,1,1,1,saritpur,faridpur,madaripur,92592,87,5359,17,9095,2300,,97,14112,21220,13122,,25686,20065,116
gazaria,0,1,1,munshiganj,dhaka,munshiganj,112850,96,4675,22,11605,,32,60,2618,19401,14489,710,29601,28328,477
gulshan,1,1,1,dhaka sadar,dhaka,,215444,82.86307692,11215,45,,,,,5858,35054,17090,215444,42638,9093,5598
joydevpup,1,1,1,gazipur,dhaka,dacca sadar north,231891,442,20352,26,15222,,92,499,17173,36885,24785,2155,57988,34033,8263
kaliakair,1,1,1,gazipur,dhaka,dacca sadar north,165766,308,28501,21,19845,,27,401,13533,26231,19631,2269,44225,33065,697
keraniganj,1,1,1,dhaka sadar,dhaka,dacca muuicipaiity,361625,92,48808,27,31529,,13,105,9323,61339,19104,165800,78739,17284,14518
khulna,1,1,1,khulna,khulna,khulna,287770,21,30268,48,29779,1806,155,116,33221,49675,11539,,53380,1662,8169
kotwali,1,1,1,ctg sadar north,chittagong,chittagong sadar north,209851,8,55894,60,15360,700,84,16,6998,25194,3150,,27857,589,3699
kotwali,1,1,1,dhaka sadar,dhaka,,181068,1.942497908,22887,50,,,,,1288,21368,4005,181068,27275,308,9699
kotwali,1,1,1,faridpur sadar,faridpur,faidpur sadar,278892,394,39862,27,27765,968,77,388,27249,45466,23655,66579,69616,38589,1432
lakshmipur,0,1,1,lakshmipur,noakhali,noakhali sadar,473611,373,26200,27,49469,4580,48,1041,41295,84914,61138,37813,124164,67780,2256
lalbag,1,1,1,dhaka sadar,dhaka,,306775,8.883788949,9799,43,,,,,7150,45044,9366,306775,52934,759,13162
lohagara,0,1,1,narail,jessore,narail,177245,278,36478,27,17755,250,45,526,18338,29816,19932,2658,47066,27005,480
mirpur,1,1,1,dhaka sadar,dhaka,,332231,58.40910689,7192,44,,,,,12794,54477,17327,332231,60835,4153,8316
mirzapur,1,1,1,tangail,tangail,tangail,294447,357,45452,23,28434,450,26,8,15120,47428,36025,19905,80974,50554,2205
mohammadpur,1,1,1,dhaka sadar,dhaka,,232817,11.68114997,7596,52,,,,,8408,36969,8564,232817,41036,2135,6219
motiijheel,1,1,1,dhaka sadar,dhaka,,350000,9.142678021,8584,58,,,,,10606,52819,12460,350000,60233,1489,5283
narayanganj,1,1,1,narayanganj,dhaka,narayanganj,196233,152.8294393,34620,45,,,,,3134,29895,5188,196233,36296,2338,10532
nawabganj,0,1,1,dhaka sadar,dhaka,dacca muuicipaiity,242139,235,54525,24,21468,,2,592,8189,40726,21551,8676,62406,22613,4779
panchlaish,1,1,1,ctg sadar north,chittagong,chittagong sadar north,116126,48,6818,45,19100,1000,97,48,9872,18077,3723,,17399,760,17627
patiya,1,1,1,chittagong sadar (patiya),chittagong,chittagong sadar south,288710,336,73392,28,41600,1419,116,237,29727,45717,22950,33490,86193,22491,1576
pahartali,1,1,1,ctg sadar north,chittagong,,97518,22,,16,,100,32,8,971,7112,261,,8483,126,18
raipura,0,1,1,narsingdi,dhaka,narayanganj,433943,310,20834,16,36207,,11,204,33354,76686,51470,22390,111503,71470,7802
ramna,1,1,1,dhaka sadar,dhaka,,111206,6.921391672,6018,66,,,,,2444,12514,3545,111206,13579,1488,1629
rupganj,1,1,1,narayanganj,dhaka,narayanganj,293244,228,31842,27,21482,,27,177,14932,49039,30053,56305,67701,28434,24940
rupsha,1,1,1,khulna,khulna,,120441,77,27532,32,,,,,14943,19540,8416,30440,26935,9092,4266
savar,1,1,1,dhaka sadar,dhaka,dacca sadar north,261904,264,33564,23,19039,,29,724,8761,41979,24625,22273,63917,37992,3875
serajdikhan,0,1,1,munshiganj,dhaka,munshiganj,197583,166,39284,26,21508,,483,420,5672,31687,20315,195,55306,23926,1158
sidhirganj,0,1,1,narayanganj,dhaka,,93998,25.64048009,1186,38,5334,,,,2510,16776,3169,93998,14181,1754,26573
singair,0,1,1,manikganj,dhaka,manikcganj,202184,198,16609,15,12660,,2,92,14550,34831,22647,10708,55230,39944,485
sitaikunda,0,1,1,ctg sadar north,chittagong,chittagong sadar north,236664,293,34136,32,14134,6625,69,452,22744,35399,14759,,59955,16198,27990
sreepur,0,1,1,gazipur,dhaka,dacca sadar north,238984,457,11228,19,22281,,43,705,28642,40722,31153,10271,61700,50728,610
