year,East Asia and Pacific,South Asia,Sub-saharan Africa,Latin America & the Caribbean,Bangladesh
1971,5.052297831,5.737287557,6.759170416,5.172660361,6.942
1972,4.787644126,5.673427482,6.773758877,5.066789767,6.928
1973,4.518743347,5.604109353,6.785640918,4.963351204,6.904
1974,4.226250695,5.531065972,6.793948684,4.863729396,6.869
1975,3.933121952,5.456507242,6.798620833,4.766774743,6.821
1976,3.674585855,5.383088808,6.79942529,4.671669112,6.758
1977,3.445366455,5.312713099,6.797913251,4.576078908,6.681
1978,3.246553153,5.245703667,6.793093574,4.478978702,6.59
1979,3.099313586,5.181604748,6.78510318,4.379859821,6.483
1980,2.983761788,5.119454828,6.773409657,4.27804053,6.359
1981,2.90647309,5.055666154,6.756637861,4.174167007,6.217
1982,2.86695928,4.988771767,6.734075163,4.068911515,6.058
1983,2.845425601,4.917283268,6.707450588,3.963470182,5.884
1984,2.836305313,4.840002982,6.674358244,3.859077577,5.698
1985,2.828534683,4.75688465,6.635130629,3.756781559,5.501
1986,2.803047315,4.668270574,6.589270339,3.657900394,5.298
1987,2.759234874,4.576607237,6.536303601,3.563681438,5.092
1988,2.692569052,4.48391457,6.478419164,3.474434747,4.887
1989,2.58831521,4.390456223,6.41472989,3.389972035,4.686
1990,2.471901236,4.29989729,6.347730005,3.310471532,4.495
1991,2.346213574,4.210600134,6.277412305,3.235245622,4.315
1992,2.223626003,4.125217695,6.207513083,3.164103121,4.146
1993,2.110944078,4.043559141,6.140673097,3.095472098,3.99
1994,2.026840434,3.963596978,6.077455112,3.02928227,3.846
1995,1.959260732,3.886308796,6.018316933,2.964668074,3.713
1996,1.91614192,3.810682393,5.961994197,2.900731569,3.591
1997,1.887927683,3.735130611,5.907775939,2.838198297,3.478
1998,1.865542643,3.658897274,5.855644616,2.776335018,3.371
1999,1.8532199,3.583358142,5.805019344,2.715360572,3.269
2000,1.850592774,3.507214774,5.755293112,2.655332969,3.169
2001,1.835640265,3.432358593,5.706678425,2.596340245,3.07
2002,1.827932183,3.357392074,5.659602674,2.538595433,2.973
2003,1.822761196,3.283697974,5.613046868,2.483309637,2.876
2004,1.819949377,3.210025965,5.567295633,2.430232994,2.782
2005,1.814965639,3.136436577,5.521001537,2.381212596,2.691
2006,1.818350728,3.060075211,5.472827617,2.335969397,2.604
2007,1.821131967,2.982348113,5.423245379,2.295444325,2.523
2008,1.820310095,2.902631163,5.371375441,2.259725194,2.449
2009,1.818401058,2.822670699,5.316514972,2.227885957,2.382
2010,1.819649139,2.745884201,5.257986594,2.19993694,2.324
2011,1.82263956,2.67477845,5.195216714,2.175727846,2.273
2012,1.828716079,2.611199461,5.128314098,2.154190773,2.228
2013,1.825113972,2.555691449,5.058320989,2.134142534,2.188
2014,1.827716086,2.508767314,4.986261367,2.114594067,2.152
2015,1.831081638,2.470078836,4.912890461,2.095698445,2.12
2016,1.829611266,2.438061113,4.838671406,2.076669541,2.09
2017,1.825949415,2.410617478,4.765199664,2.057450241,2.062
2018,1.823004187,2.384749671,4.693243438,2.038487942,2.036
