year,Bangladesh,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,South Asia
1990,24.64999962,66.3755559,41.43411672,62.39951573,29.34788856
1991,24.77000046,66.25194601,41.74251344,62.3969107,29.28852674
1992,24.93000031,66.22452625,42.58780328,62.40433986,29.27674098
1993,25.12999916,66.01816316,43.44436282,62.4318449,29.39210171
1994,25.36000061,66.0685846,44.20884425,62.47386747,29.56491808
1995,25.62999916,65.98067056,45.13710036,62.59909725,29.33096134
1996,25.81999969,65.91025815,45.02338549,62.70413744,29.38280677
1997,26.05999947,65.7276311,46.08900051,62.78447433,29.46596507
1998,26.30999947,65.51110223,46.56486251,62.85825198,29.57872181
1999,26.56999969,65.21370052,46.93013288,62.93768246,29.53444976
2000,26.81999969,65.04972412,47.22356547,63.0019034,29.55435691
2001,27,64.36206961,47.7353525,63.01765448,29.74164096
2002,27.20000076,63.58154101,48.30911342,63.052014,29.95794966
2003,27.39999962,62.97784731,48.82417657,63.09600921,30.25139952
2004,27.60000038,62.37834962,49.69331408,63.12813447,30.55004137
2005,27.79999924,61.84890985,50.23236739,63.12980959,30.81664065
2006,27.90999985,61.41038028,50.55755649,63.11938224,29.8843373
2007,28.37999916,61.46854676,50.55819893,63.06976764,28.99902526
2008,28.87000084,61.19494645,50.63175159,62.96143388,28.15864647
2009,29.36000061,60.87965372,51.22066259,62.70305597,27.42572288
2010,29.85000038,60.54330081,50.77462214,62.42335469,26.68045993
2011,30.34000015,60.47699903,50.44851081,62.32937452,25.6653796
2012,30.84000015,60.33202762,51.28141639,61.73351408,24.68028927
2013,31.34000015,60.08231235,51.17062097,61.29747945,24.4730825
2014,31.85000038,59.93765192,50.88416228,61.08937198,24.24500711
2015,32.36999893,59.7177725,51.14026587,61.07772279,24.13963792
2016,32.88000107,59.43851266,51.29752839,61.01905269,23.85199737
2017,35.86000061,59.13377989,51.65190925,61.13166694,23.81988631
2018,36.15000153,59.06309496,52.04843502,61.2067773,23.49699133
2019,36.36999893,58.8307924,52.53513418,61.29248512,23.59789102
